Id,Cliente_Id,Valor,DataHora,Hora,Minuto,Segundo,Dia
8607,910,-2.0,2022-01-19T20:15:26.000Z,20,15,26,2022-01-19
8608,910,-2.0,2022-01-19T20:14:56.000Z,20,14,56,2022-01-19
8609,910,-2.0,2022-01-19T20:14:26.000Z,20,14,26,2022-01-19
8610,910,-2.0,2022-01-19T20:13:56.000Z,20,13,56,2022-01-19
8612,910,-2.0,2022-01-19T20:13:26.000Z,20,13,26,2022-01-19
8614,910,-2.0,2022-01-19T20:12:56.000Z,20,12,56,2022-01-19
8573,671,-10.0,2022-01-13T15:21:25.000Z,15,21,25,2022-01-13
8574,671,-10.0,2022-01-13T15:20:55.000Z,15,20,55,2022-01-13
8575,671,-5.0,2022-01-13T15:20:25.000Z,15,20,25,2022-01-13
8576,671,-10.0,2022-01-13T15:19:55.000Z,15,19,55,2022-01-13
8577,671,-2.0,2022-01-13T15:19:25.000Z,15,19,25,2022-01-13
8580,671,-10.0,2022-01-13T15:18:55.000Z,15,18,55,2022-01-13
8581,671,-100.0,2022-01-13T15:18:25.000Z,15,18,25,2022-01-13
8582,671,-15.0,2022-01-13T15:17:55.000Z,15,17,55,2022-01-13
8583,671,-100.0,2022-01-13T15:17:25.000Z,15,17,25,2022-01-13
8584,671,-2.0,2022-01-13T15:16:55.000Z,15,16,55,2022-01-13
8511,671,-10.0,2022-01-09T12:55:10.000Z,12,55,10,2022-01-09
8510,671,-2.0,2022-01-09T12:54:15.000Z,12,54,15,2022-01-09
8496,671,-5.0,2022-01-08T14:29:37.000Z,14,29,37,2022-01-08
8495,671,-50.0,2022-01-08T14:27:52.000Z,14,27,52,2022-01-08
8491,671,-10.0,2022-01-08T09:04:51.000Z,9,4,51,2022-01-08
8490,671,-10.0,2022-01-08T09:04:21.000Z,9,4,21,2022-01-08
8487,671,-100.0,2022-01-07T15:25:39.000Z,15,25,39,2022-01-07
8486,671,-100.0,2022-01-07T15:24:02.000Z,15,24,2,2022-01-07
8481,671,-3.0,2022-01-06T15:25:31.000Z,15,25,31,2022-01-06
