Id,Cliente_Id,Valor,DataHora,Hora,Minuto,Segundo,Dia
3120,533,5.001,2021-01-28T23:46:47.000Z,23,46,47,2021-01-28
3119,533,24.999,2021-01-28T23:46:47.000Z,23,46,47,2021-01-28
3108,533,5.001,2021-01-28T13:47:37.000Z,13,47,37,2021-01-28
3107,533,12.4995,2021-01-28T13:47:36.000Z,13,47,36,2021-01-28
3106,533,12.4995,2021-01-28T13:47:36.000Z,13,47,36,2021-01-28
3092,533,24.999,2021-01-28T13:02:57.000Z,13,2,57,2021-01-28
3091,533,5.001,2021-01-28T13:02:57.000Z,13,2,57,2021-01-28
3079,533,24.999,2021-01-23T12:44:31.000Z,12,44,31,2021-01-23
3078,533,5.001,2021-01-23T12:44:30.000Z,12,44,30,2021-01-23
3009,74,5.001,2021-01-14T11:04:03.000Z,11,4,3,2021-01-14
3008,74,12.4995,2021-01-14T11:04:03.000Z,11,4,3,2021-01-14
2986,74,24.999,2021-01-08T23:37:22.000Z,23,37,22,2021-01-08
2985,74,5.001,2021-01-08T23:37:22.000Z,23,37,22,2021-01-08
2967,73,5.001,2021-01-08T22:39:27.000Z,22,39,27,2021-01-08
2966,73,24.999,2021-01-08T22:39:27.000Z,22,39,27,2021-01-08
2853,74,5.001,2020-12-24T02:08:27.000Z,2,8,27,2020-12-24
2852,74,12.4995,2020-12-24T02:08:26.000Z,2,8,26,2020-12-24
2749,73,49.998,2020-12-22T00:57:46.000Z,0,57,46,2020-12-22
2748,73,10.002,2020-12-22T00:57:46.000Z,0,57,46,2020-12-22
2737,533,10.002,2020-12-22T00:33:40.000Z,0,33,40,2020-12-22
2736,533,16.666,2020-12-22T00:33:39.000Z,0,33,39,2020-12-22
2690,534,15.0,2020-12-19T02:13:15.000Z,2,13,15,2020-12-19
2677,523,10.002,2020-12-19T01:42:21.000Z,1,42,21,2020-12-19
2661,73,12.4995,2020-12-19T01:08:59.000Z,1,8,59,2020-12-19
2660,73,12.4995,2020-12-19T01:08:59.000Z,1,8,59,2020-12-19
2659,73,10.002,2020-12-19T01:08:59.000Z,1,8,59,2020-12-19
2649,73,10.002,2020-12-19T00:42:37.000Z,0,42,37,2020-12-19
2648,73,49.998,2020-12-19T00:42:37.000Z,0,42,37,2020-12-19
2621,74,10.002,2020-12-18T23:06:55.000Z,23,6,55,2020-12-18
2612,73,16.666,2020-12-18T22:41:18.000Z,22,41,18,2020-12-18
2611,73,16.666,2020-12-18T22:41:18.000Z,22,41,18,2020-12-18
2601,533,1.0,2020-12-18T20:48:50.000Z,20,48,50,2020-12-18
2598,533,50.0,2020-12-18T20:45:25.000Z,20,45,25,2020-12-18
2596,533,38.0,2020-12-18T20:43:55.000Z,20,43,55,2020-12-18
2580,73,102.0,2020-12-18T01:47:38.000Z,1,47,38,2020-12-18
